,index,물리학및실험 1,미분적분학,선형대수,확률및랜덤변수,미분방정식,이산구조,디자인적사고,웹/파이선프로그래밍,객체지향프로그래밍,논리회로,컴퓨터구조,자료구조,운영체제,컴퓨터네트워크,소프트웨어공학,알고리즘분석,데이터베이스,오픈소스SW개발,IT기술영어 1,IT기술영어 2,IT기술영어 3,캡스톤디자인 1,캡스톤디자인 2,졸업논문,기계학습,신호와시스템,문제해결,형식언어및컴파일러,파일처리,멀티미디어시스템,시스템분석및설계,프로그래밍언어구조론,SW스타트업비즈니스,SW스타트업프로젝트,최신기술프로젝트 1,최신기술프로젝트 2,최신기술콜로키움 1,최신기술콜로키움 2,단기현장실습,장기현장실습,연구연수활동 1,연구연수활동 2,독립심화학습 1,독립심화학습 2,인공지능,빅데이터프로그래밍,클라우드컴퓨팅,데이터센터프로그래밍,정보보호,모바일프로그래밍,웹서비스프로그래밍,리눅스시스템프로그래밍,IoT디지털시스템,IoT소프트웨어,로봇스프트웨어,영상처리,컴퓨터그래픽스,멀티미디어처리,인간-컴퓨터상호작용,UI/UX프로그래밍,컴퓨터비전,AI네트워킹,IoT네트워크,딥러닝,실전기계학습
389,453,1,1,3,2,2,4,2,1,4,3,5,5,4,4,5,5,4,6,5,8,7,9,8,9,7,0,0,0,0,0,7,8,0,0,0,0,0,0,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
390,454,2,1,4,4,2,4,2,1,4,3,3,6,7,7,7,8,8,4,4,8,5,8,9,9,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,6,0,0,0,6,0,0,0
391,455,1,1,1,4,2,4,2,1,2,4,4,3,7,4,7,7,8,5,7,8,6,7,8,8,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,4,0,5,0
392,456,2,1,2,1,4,2,3,1,2,5,3,5,6,5,6,5,6,8,4,4,6,9,9,9,5,0,0,0,0,0,0,5,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0
393,457,2,1,3,2,4,2,2,1,3,4,6,6,5,8,6,5,6,8,8,5,8,9,9,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,5,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0
394,458,1,1,2,4,2,4,3,1,3,3,3,6,7,8,5,4,6,5,8,7,8,9,7,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,4
395,459,2,1,4,4,3,4,2,1,4,2,6,5,6,6,6,6,5,8,8,8,4,8,9,9,7,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
396,460,1,1,1,2,2,2,3,1,4,4,6,6,6,4,6,5,7,8,7,4,5,8,8,9,6,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
397,462,1,1,1,4,4,4,2,1,2,3,5,4,7,6,7,8,5,7,7,6,5,7,9,8,6,0,0,0,0,0,0,0,7,8,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
398,464,1,1,3,3,2,4,2,1,3,3,5,6,6,5,7,6,4,8,5,5,8,8,8,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,6,0,0
399,465,1,1,2,2,2,3,3,1,4,5,6,4,4,6,6,5,4,5,5,7,8,7,8,8,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,8,0,0,6,0,0,0,0,0,0,0,0
400,466,1,1,3,1,3,4,3,1,4,3,4,5,7,4,4,6,7,7,6,5,4,7,9,9,5,0,6,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
401,467,2,1,4,3,2,3,3,1,3,4,5,5,4,6,5,7,6,6,7,5,6,7,9,9,4,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
402,468,1,1,1,3,2,2,2,1,2,2,5,4,5,5,8,5,4,7,5,8,5,7,9,9,6,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,8,0,0,0
403,469,2,1,2,2,3,3,2,1,2,5,4,5,6,8,7,8,7,7,4,7,6,7,7,9,6,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0
404,470,2,1,1,3,3,3,2,1,3,2,4,4,6,4,8,4,7,7,6,5,5,9,9,8,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,7
405,472,2,1,1,3,4,3,3,1,4,2,5,3,6,5,6,8,5,7,8,8,6,8,8,8,5,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
406,473,1,1,3,4,2,2,3,1,4,2,3,5,4,5,7,5,6,8,7,4,8,7,8,8,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,7,0
407,474,2,1,4,4,3,3,3,1,4,3,4,6,5,4,8,8,6,8,6,6,4,8,7,8,5,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0
408,475,1,1,4,3,2,3,3,1,4,4,6,5,5,5,5,6,7,7,8,4,8,9,8,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,4,0,0,6,0,0,0,5,0,0,0,0
409,476,1,1,3,2,2,4,3,1,4,4,6,3,6,4,6,5,6,7,4,5,7,7,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,7,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,477,2,1,3,2,2,2,2,1,2,4,5,3,5,7,5,8,7,5,4,4,7,8,8,9,5,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0
411,479,2,1,1,4,3,3,3,1,3,4,3,6,5,6,5,5,6,7,6,5,4,8,9,8,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,8,0,0
412,481,1,1,3,3,4,4,2,1,3,3,4,6,4,6,8,7,6,7,7,5,4,8,7,9,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0
413,482,2,1,1,3,3,3,3,1,3,3,4,6,5,7,6,6,6,8,7,8,8,9,7,9,7,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0
414,483,1,1,2,1,4,4,3,1,2,4,4,3,5,5,7,7,5,7,6,6,5,7,8,9,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,7,0,0
415,484,2,1,3,3,3,2,2,1,3,3,4,4,8,7,8,6,8,8,5,7,5,9,9,9,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,6,0,6,0,0,0,0,0,0,0,0
416,486,1,1,2,1,3,3,3,1,2,2,3,5,5,6,7,7,4,8,6,8,8,8,7,8,5,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
417,487,2,1,1,2,3,3,2,1,2,2,6,5,4,8,5,5,6,8,4,7,7,8,8,9,6,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,8,0
418,488,2,1,3,4,4,3,2,1,3,5,5,6,7,4,4,5,7,4,7,6,7,9,7,9,5,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0
419,490,2,1,2,1,3,4,3,1,2,2,5,5,4,6,4,8,7,8,6,5,4,9,8,9,7,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,4,0,0
420,491,2,1,1,2,4,4,2,1,2,5,5,6,5,4,4,7,5,7,4,4,7,8,9,8,6,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,6,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,492,2,1,2,2,3,2,3,1,4,2,4,6,5,7,6,5,8,4,4,6,8,9,7,8,7,8,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,493,1,1,4,2,3,4,2,1,3,2,3,5,5,7,4,7,7,4,8,8,5,9,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,494,1,1,3,2,4,2,2,1,3,3,5,6,6,4,5,5,7,4,8,7,8,8,9,8,4,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,5,0,0
424,497,1,1,2,2,3,3,2,1,2,3,6,6,5,8,4,4,6,4,4,6,8,7,9,8,6,0,0,0,6,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,498,1,1,2,2,2,2,3,1,3,5,5,3,4,7,7,8,4,5,5,5,6,7,9,8,7,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,7,0,0,0
426,499,1,1,3,4,2,4,2,1,3,4,3,3,4,6,6,8,5,5,6,8,4,8,9,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5,4,0,0,0,0
427,501,2,1,2,3,4,2,3,1,2,3,4,5,8,5,5,7,8,6,4,5,5,7,8,8,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,7,0,0
428,502,1,1,3,2,3,3,2,1,3,2,4,6,5,7,8,8,6,8,4,6,5,8,7,9,4,8,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
429,503,1,1,1,4,4,4,2,1,4,3,6,3,6,5,7,5,8,8,8,5,4,7,8,8,7,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,504,2,1,1,3,3,2,3,1,4,4,4,3,8,4,7,6,8,8,7,6,6,7,8,9,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,7,0,0,6,0,0
431,505,1,1,2,1,2,2,3,1,3,4,3,5,6,4,7,4,7,6,7,7,5,7,8,9,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,8,0,0,5,0,0,0
432,506,1,1,4,1,4,3,3,1,3,5,3,5,4,4,6,8,6,4,8,4,7,9,7,8,7,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0
433,507,1,1,4,3,2,3,2,1,2,5,3,4,5,4,5,7,7,6,6,5,7,7,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,8,6,5,0,0,0,0,0,0,0,0,0,0,0
434,508,1,1,3,2,2,3,2,1,4,2,4,5,6,4,4,6,4,4,5,6,8,8,7,9,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,5
435,509,1,1,1,4,4,3,3,1,4,4,6,5,6,5,8,5,8,8,4,6,5,7,9,8,6,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0
436,510,2,1,2,1,2,2,2,1,3,5,3,3,8,5,4,5,8,7,4,4,7,9,7,9,5,0,7,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
437,511,2,1,4,3,4,2,3,1,4,2,5,4,8,6,8,8,8,6,6,4,7,8,9,9,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,6,0,0,0,6,0,0,0,0,0
438,512,2,1,1,1,4,3,3,1,2,5,6,6,6,5,8,5,5,7,5,5,4,7,8,8,4,0,0,0,0,4,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
439,513,1,1,4,3,3,3,2,1,3,3,6,3,5,6,6,8,6,7,8,7,5,9,8,9,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0
440,517,1,1,2,3,2,4,3,1,3,2,4,5,6,8,6,4,7,5,7,5,4,7,8,9,5,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0
441,518,2,1,2,3,4,2,2,1,2,3,5,5,4,5,7,6,4,7,4,7,4,7,8,8,6,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,7,0,0,0
442,519,2,1,1,3,2,3,2,1,4,2,4,4,8,5,4,6,5,8,6,8,5,8,7,8,4,0,0,0,0,0,6,0,0,0,0,0,0,0,7,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
443,520,1,1,4,4,2,2,2,1,3,5,5,5,4,6,7,4,7,5,7,7,7,7,9,9,6,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
444,521,1,1,3,1,4,2,3,1,4,4,3,5,4,5,7,7,4,5,5,6,6,9,8,8,4,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,5,0,0
445,522,1,1,4,1,3,3,2,1,4,4,5,3,6,7,5,4,8,6,4,6,4,7,9,9,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0
446,523,2,1,4,2,4,2,3,1,2,3,5,5,4,7,4,8,5,4,7,4,7,9,7,8,7,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,8,0,0,0
447,524,1,1,2,1,3,4,3,1,3,2,3,5,7,7,6,4,8,6,6,5,5,8,8,8,6,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0
448,525,2,1,2,3,3,3,3,1,3,4,5,4,4,8,5,5,8,4,8,7,8,7,9,8,4,0,0,0,0,0,0,0,0,5,0,0,7,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
449,526,1,1,1,1,4,3,3,1,3,4,6,6,5,4,4,5,7,6,6,7,4,9,7,8,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0
450,527,2,1,3,4,4,2,3,1,2,5,4,5,7,6,8,7,8,5,8,5,6,7,7,8,7,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,5,0
451,528,2,1,1,3,4,3,3,1,2,3,3,3,7,5,6,6,4,5,5,7,7,8,9,9,7,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0
452,529,1,1,4,4,2,2,2,1,2,5,3,5,6,5,6,6,6,4,5,8,4,8,7,8,6,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0
453,530,2,1,3,4,2,3,2,1,4,2,4,5,5,6,5,7,8,7,8,4,8,8,9,9,7,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0
454,531,1,1,3,4,4,2,3,1,3,2,6,6,6,6,5,5,8,4,7,4,4,8,7,9,4,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7
455,532,1,1,3,2,3,2,2,1,4,2,6,4,8,8,6,8,4,5,7,4,4,9,8,8,4,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0
456,533,1,1,4,4,3,3,3,1,2,2,4,3,5,4,7,8,7,5,4,6,7,7,8,9,6,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0
457,534,2,1,2,2,4,3,3,1,2,4,5,6,8,4,5,4,4,4,7,5,7,9,8,9,7,0,0,0,0,0,6,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
458,535,2,1,3,2,2,4,2,1,3,2,6,4,8,8,6,7,8,6,6,8,7,9,8,8,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,5,6,0
459,537,1,1,1,1,4,2,3,1,4,5,3,6,8,6,8,4,5,4,8,4,5,9,7,9,6,0,0,0,0,8,7,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
460,538,2,1,3,3,3,4,2,1,4,5,4,6,8,6,8,7,5,6,4,7,5,8,8,8,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,4,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
461,539,1,1,1,4,2,3,2,1,3,3,5,4,7,7,4,6,5,5,4,5,5,7,9,8,7,0,5,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
462,540,2,1,3,1,3,2,2,1,2,2,3,6,4,5,8,6,5,5,7,8,7,7,7,9,6,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
463,542,1,1,3,2,3,4,3,1,2,2,4,3,7,5,5,7,8,5,8,5,5,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,7,0,0,4,0,0,0,0,0,0
464,543,2,1,3,1,3,3,3,1,4,2,3,3,6,6,8,8,5,7,6,7,5,8,7,8,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
465,544,2,1,2,3,4,2,3,1,2,4,4,5,8,5,8,5,6,6,7,6,6,9,9,8,4,0,0,0,0,0,7,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0
466,545,1,1,4,1,4,3,2,1,3,3,6,6,4,7,7,8,6,6,5,4,8,7,7,9,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0
467,546,1,1,1,3,3,4,3,1,2,5,3,4,8,5,5,6,4,6,4,5,4,7,9,8,6,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
468,547,2,1,4,1,2,3,2,1,3,3,6,4,7,6,8,4,8,7,5,5,6,8,7,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,5,0,0
469,548,1,1,4,4,2,3,2,1,4,3,5,5,4,7,6,4,8,8,5,7,7,8,9,9,4,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0
470,549,1,1,2,2,4,4,3,1,3,5,6,5,5,8,7,7,4,6,8,8,6,9,8,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,4,0,0
471,550,1,1,1,1,2,4,3,1,4,5,5,3,7,4,7,8,7,8,4,4,7,9,8,8,5,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,5,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,551,1,1,1,2,2,4,3,1,2,2,4,5,4,6,7,8,7,8,5,7,7,9,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0
473,553,1,1,3,4,2,3,2,1,2,3,6,5,7,6,6,8,4,5,6,6,4,9,9,8,5,0,4,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,554,1,1,1,3,3,2,2,1,3,4,6,5,8,4,8,5,5,5,7,7,5,8,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,4,0
475,555,1,1,2,3,4,2,3,1,3,2,5,3,6,5,7,5,8,6,6,8,8,7,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0
476,556,2,1,1,3,3,3,2,1,2,5,4,4,6,6,7,8,7,5,7,5,6,8,8,9,5,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0
477,558,1,1,1,4,3,3,3,1,2,2,5,6,4,7,6,4,5,4,4,7,7,8,9,8,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,5,0,0,8,0,0
478,559,1,1,2,4,2,3,2,1,4,5,5,3,4,5,6,4,7,7,7,7,6,9,7,8,5,0,0,8,0,0,0,0,0,6,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,561,1,1,3,3,2,2,2,1,2,5,4,5,5,5,8,4,5,7,6,8,8,9,9,8,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,7
480,562,1,1,1,2,2,2,3,1,2,4,6,5,5,5,7,4,7,6,4,8,7,7,8,9,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,4,0,8,0
481,563,2,1,3,3,3,2,2,1,2,2,3,6,5,8,7,5,7,5,4,5,8,7,9,9,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6
482,564,1,1,2,1,2,2,3,1,4,4,3,5,8,6,8,8,6,6,7,6,6,8,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,6,0,0,0,0
483,565,1,1,4,4,3,2,3,1,4,2,4,5,8,7,7,4,8,5,5,7,4,9,9,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,6
484,566,1,1,1,2,3,2,3,1,2,2,5,6,5,5,8,8,6,4,4,7,8,8,8,9,4,0,0,0,0,0,0,0,0,0,5,0,0,6,7,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,567,1,1,1,2,3,3,3,1,3,2,5,4,5,5,8,5,6,6,8,6,5,8,7,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
486,568,2,1,1,4,2,2,3,1,2,2,4,3,5,7,8,8,8,5,5,6,5,8,8,8,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,6,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
487,569,1,1,1,3,4,3,3,1,3,5,4,3,7,7,4,7,5,6,8,4,5,7,7,9,5,5,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,570,2,1,2,1,3,2,3,1,2,4,3,6,5,4,4,8,4,4,5,7,7,9,9,8,7,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,7,0
